id,title,address,city,views,age,ageYears,titleStyle,url
"6SAK7HP8qTw","Newly remodeled home next to large park at 1039 Lambdin St Manteca CA.","1039 Lambdin St","Manteca","6","6 days ago","0.02","remark + address","https://www.youtube.com/watch?v=6SAK7HP8qTw"
"jR4HK826-EA","Inviting remodeled home with new quartz kitchen counters, new paint at 94 Elysian Ct Tracy CA.","94 Elysian Ct","Tracy","4","6 days ago","0.02","remark + address","https://www.youtube.com/watch?v=jR4HK826-EA"
"zjsAQsFIsc0","Sharp home with updated kitchen, artificial grass frontyard at 1073 Derby Ct Manteca CA.","1073 Derby Ct","Manteca","1","6 days ago","0.02","remark + address","https://www.youtube.com/watch?v=zjsAQsFIsc0"
"L_L42vvdoY0","Dynamite 1-story with new LVP flooring, freshly paint at 2086 Shenandoah St Tracy CA.","2086 Shenandoah St","Tracy","4","6 days ago","0.02","remark + address","https://www.youtube.com/watch?v=L_L42vvdoY0"
"mRxKizRiYA8","Wonderfully remodeled 5 bedroom, 3-car garage home at 4806 Moraga Ln Stockton CA.","4806 Moraga Ln","Stockton","6","6 days ago","0.02","remark + address","https://www.youtube.com/watch?v=mRxKizRiYA8"
"PQaeYP7xopw","Huge shop on a corner lot with beautiful home at 2505 Chrysler Ave Manteca CA.","2505 Chrysler Ave","Manteca","3","6 days ago","0.02","remark + address","https://www.youtube.com/watch?v=PQaeYP7xopw"
"JLK68aEekjY","Gorgeous home with rock waterfall, & wood bridge at 14546 Arapaho Way Manteca CA.","14546 Arapaho Way","Manteca","2","6 days ago","0.02","remark + address","https://www.youtube.com/watch?v=JLK68aEekjY"
"ywQxiRR7HyA","Like new River Islands home in court location at 1652 Andromeda Ct Lathrop CA.","1652 Andromeda Ct","River Islands","0","6 days ago","0.02","remark + address","https://www.youtube.com/watch?v=ywQxiRR7HyA"
"al_suxz8di8","Beautiful country home with gated entry, pool and marble flooring at 33909 S Koster Rd Tracy CA.","33909 S Koster Rd","Tracy","24","3 weeks ago","0.06","remark + address","https://www.youtube.com/watch?v=al_suxz8di8"
"uHCS0BxhCOo","Stunning lakefront home with private dock, paid solar and max upgrades 2236 Clear Lake Ct Tracy CA.","2236 Clear Lake Ct","Tracy","13","3 weeks ago","0.06","other","https://www.youtube.com/watch?v=uHCS0BxhCOo"
"G3Lbg3zof7A","Wonderful home has new white quartz counters, new paint and flooring at 1915 Maplegrove Ln Tracy CA.","1915 Maplegrove Ln","Tracy","9","3 weeks ago","0.06","remark + address","https://www.youtube.com/watch?v=G3Lbg3zof7A"
"E1fdS5BGgt0","Exceptional Union Ranch home with RV access, new paint and shutters at 1018 Glen Abbey Dr Manteca CA","1018 Glen Abbey Dr","Manteca","7","3 weeks ago","0.06","remark + address","https://www.youtube.com/watch?v=E1fdS5BGgt0"
"guUlvNH_4AE","Beautiful pool, new windows and new paint at 2000 Ashland Dr Tracy CA.","2000 Ashland Dr","Tracy","5","3 weeks ago","0.06","remark + address","https://www.youtube.com/watch?v=guUlvNH_4AE"
"xCK3MEQv5qY","Beautiful 4 BR home with pool, spa, plantation shutters & large lot at 351 Citrus Way Tracy CA.","351 Citrus Way","Tracy","22","1 month ago","0.08","remark + address","https://www.youtube.com/watch?v=xCK3MEQv5qY"
"MYBUkNzegsI","Slab granite counters, appliances and crown molding at 493 Lafayette Ct Mountain House CA.","493 Lafayette Ct","Mountain House","23","1 month ago","0.08","remark + address","https://www.youtube.com/watch?v=MYBUkNzegsI"
"sPDNedDYEU0","Wonderful 3,100 sf home with 3-car, 4 BR +1369 loft at 1369 Buckskin Way Patterson CA.","1369 loft at 1369 Buckskin Way","Patterson","15","1 month ago","0.08","remark + address","https://www.youtube.com/watch?v=sPDNedDYEU0"
"m1JklBGzDSI","Exceptional 4 BR home in gated Oakwood Shores at 3482 Rapallo Way Manteca CA.","3482 Rapallo Way","Manteca","10","1 month ago","0.08","remark + address","https://www.youtube.com/watch?v=m1JklBGzDSI"
"Gz8GR1TU8eU","Rare 1-story, 4 BR, 3-car in a court location at 330 Fox Meadow Ct Tracy CA.","330 Fox Meadow Ct","Tracy","18","1 month ago","0.08","remark + address","https://www.youtube.com/watch?v=Gz8GR1TU8eU"
"ADXPmdvfPOc","Beautifullu remodeled 5 BR home in court location at 1321 Haley Ct Tracy CA.","1321 Haley Ct","Tracy","25","1 month ago","0.08","remark + address","https://www.youtube.com/watch?v=ADXPmdvfPOc"
"VVIPl0cSj9Q","Newer Bosch appliances and stone kitchen counters at 1577 Parkside Ct Tracy CA.","1577 Parkside Ct","Tracy","13","1 month ago","0.08","remark + address","https://www.youtube.com/watch?v=VVIPl0cSj9Q"
"tnWVGA6fqkM","Remodeled kitchen, inground pool and top school district at 976 Sunnyside Ln Tracy CA.","976 Sunnyside Ln","Tracy","13","1 month ago","0.08","remark + address","https://www.youtube.com/watch?v=tnWVGA6fqkM"
"Tk6S1hxopRM","Beautiful Forecast 5 BR home at 2050 Tracey Jean Dr Tracy CA.","2050 Tracey Jean Dr","Tracy","12","1 month ago","0.08","remark + address","https://www.youtube.com/watch?v=Tk6S1hxopRM"
"TokY7YUaOvM","New quartz kitchen counters, new interior paint, new carpet at 111 E 21st St Tracy CA.","111 E 21st St","Tracy","6","1 month ago","0.08","remark + address","https://www.youtube.com/watch?v=TokY7YUaOvM"
"C7W5me4W9fg","Desirable & remodeled home at 2866 Valcourt Way Tracy CA.","2866 Valcourt Way","Tracy","8","1 month ago","0.08","remark + address","https://www.youtube.com/watch?v=C7W5me4W9fg"
"0fZgF9RP98g","Beautiful home with a pool, over quarter acre lot, outdoor kitchen at 2459 Anita Ct Tracy CA.","2459 Anita Ct","Tracy","6","1 month ago","0.08","remark + address","https://www.youtube.com/watch?v=0fZgF9RP98g"
