DateKey,Date,Year,QuarterNumber,YearQuarter,MonthNumber,MonthName,MonthShort,YearMonth,DayOfMonth,DayName,DayOfWeekNumber,IsWeekend,Season,MarketPhaseKey,MarketPhase
19870101,1987-01-01,1987,1,1987 Q1,1,January,Jan,1987-01,1,Thursday,4,No,Winter,1,Early market
19870102,1987-01-02,1987,1,1987 Q1,1,January,Jan,1987-01,2,Friday,5,No,Winter,1,Early market
19870103,1987-01-03,1987,1,1987 Q1,1,January,Jan,1987-01,3,Saturday,6,Yes,Winter,1,Early market
19870104,1987-01-04,1987,1,1987 Q1,1,January,Jan,1987-01,4,Sunday,7,Yes,Winter,1,Early market
19870105,1987-01-05,1987,1,1987 Q1,1,January,Jan,1987-01,5,Monday,1,No,Winter,1,Early market
19870106,1987-01-06,1987,1,1987 Q1,1,January,Jan,1987-01,6,Tuesday,2,No,Winter,1,Early market
19870107,1987-01-07,1987,1,1987 Q1,1,January,Jan,1987-01,7,Wednesday,3,No,Winter,1,Early market
19870108,1987-01-08,1987,1,1987 Q1,1,January,Jan,1987-01,8,Thursday,4,No,Winter,1,Early market
19870109,1987-01-09,1987,1,1987 Q1,1,January,Jan,1987-01,9,Friday,5,No,Winter,1,Early market
19870110,1987-01-10,1987,1,1987 Q1,1,January,Jan,1987-01,10,Saturday,6,Yes,Winter,1,Early market
19870111,1987-01-11,1987,1,1987 Q1,1,January,Jan,1987-01,11,Sunday,7,Yes,Winter,1,Early market
19870112,1987-01-12,1987,1,1987 Q1,1,January,Jan,1987-01,12,Monday,1,No,Winter,1,Early market
19870113,1987-01-13,1987,1,1987 Q1,1,January,Jan,1987-01,13,Tuesday,2,No,Winter,1,Early market
19870114,1987-01-14,1987,1,1987 Q1,1,January,Jan,1987-01,14,Wednesday,3,No,Winter,1,Early market
19870115,1987-01-15,1987,1,1987 Q1,1,January,Jan,1987-01,15,Thursday,4,No,Winter,1,Early market
19870116,1987-01-16,1987,1,1987 Q1,1,January,Jan,1987-01,16,Friday,5,No,Winter,1,Early market
19870117,1987-01-17,1987,1,1987 Q1,1,January,Jan,1987-01,17,Saturday,6,Yes,Winter,1,Early market
19870118,1987-01-18,1987,1,1987 Q1,1,January,Jan,1987-01,18,Sunday,7,Yes,Winter,1,Early market
19870119,1987-01-19,1987,1,1987 Q1,1,January,Jan,1987-01,19,Monday,1,No,Winter,1,Early market
19870120,1987-01-20,1987,1,1987 Q1,1,January,Jan,1987-01,20,Tuesday,2,No,Winter,1,Early market
19870121,1987-01-21,1987,1,1987 Q1,1,January,Jan,1987-01,21,Wednesday,3,No,Winter,1,Early market
19870122,1987-01-22,1987,1,1987 Q1,1,January,Jan,1987-01,22,Thursday,4,No,Winter,1,Early market
19870123,1987-01-23,1987,1,1987 Q1,1,January,Jan,1987-01,23,Friday,5,No,Winter,1,Early market
19870124,1987-01-24,1987,1,1987 Q1,1,January,Jan,1987-01,24,Saturday,6,Yes,Winter,1,Early market
19870125,1987-01-25,1987,1,1987 Q1,1,January,Jan,1987-01,25,Sunday,7,Yes,Winter,1,Early market
19870126,1987-01-26,1987,1,1987 Q1,1,January,Jan,1987-01,26,Monday,1,No,Winter,1,Early market
19870127,1987-01-27,1987,1,1987 Q1,1,January,Jan,1987-01,27,Tuesday,2,No,Winter,1,Early market
19870128,1987-01-28,1987,1,1987 Q1,1,January,Jan,1987-01,28,Wednesday,3,No,Winter,1,Early market
19870129,1987-01-29,1987,1,1987 Q1,1,January,Jan,1987-01,29,Thursday,4,No,Winter,1,Early market
19870130,1987-01-30,1987,1,1987 Q1,1,January,Jan,1987-01,30,Friday,5,No,Winter,1,Early market
19870131,1987-01-31,1987,1,1987 Q1,1,January,Jan,1987-01,31,Saturday,6,Yes,Winter,1,Early market
19870201,1987-02-01,1987,1,1987 Q1,2,February,Feb,1987-02,1,Sunday,7,Yes,Winter,1,Early market
19870202,1987-02-02,1987,1,1987 Q1,2,February,Feb,1987-02,2,Monday,1,No,Winter,1,Early market
19870203,1987-02-03,1987,1,1987 Q1,2,February,Feb,1987-02,3,Tuesday,2,No,Winter,1,Early market
19870204,1987-02-04,1987,1,1987 Q1,2,February,Feb,1987-02,4,Wednesday,3,No,Winter,1,Early market
19870205,1987-02-05,1987,1,1987 Q1,2,February,Feb,1987-02,5,Thursday,4,No,Winter,1,Early market
19870206,1987-02-06,1987,1,1987 Q1,2,February,Feb,1987-02,6,Friday,5,No,Winter,1,Early market
19870207,1987-02-07,1987,1,1987 Q1,2,February,Feb,1987-02,7,Saturday,6,Yes,Winter,1,Early market
19870208,1987-02-08,1987,1,1987 Q1,2,February,Feb,1987-02,8,Sunday,7,Yes,Winter,1,Early market
19870209,1987-02-09,1987,1,1987 Q1,2,February,Feb,1987-02,9,Monday,1,No,Winter,1,Early market
19870210,1987-02-10,1987,1,1987 Q1,2,February,Feb,1987-02,10,Tuesday,2,No,Winter,1,Early market
19870211,1987-02-11,1987,1,1987 Q1,2,February,Feb,1987-02,11,Wednesday,3,No,Winter,1,Early market
19870212,1987-02-12,1987,1,1987 Q1,2,February,Feb,1987-02,12,Thursday,4,No,Winter,1,Early market
19870213,1987-02-13,1987,1,1987 Q1,2,February,Feb,1987-02,13,Friday,5,No,Winter,1,Early market
19870214,1987-02-14,1987,1,1987 Q1,2,February,Feb,1987-02,14,Saturday,6,Yes,Winter,1,Early market
19870215,1987-02-15,1987,1,1987 Q1,2,February,Feb,1987-02,15,Sunday,7,Yes,Winter,1,Early market
19870216,1987-02-16,1987,1,1987 Q1,2,February,Feb,1987-02,16,Monday,1,No,Winter,1,Early market
19870217,1987-02-17,1987,1,1987 Q1,2,February,Feb,1987-02,17,Tuesday,2,No,Winter,1,Early market
19870218,1987-02-18,1987,1,1987 Q1,2,February,Feb,1987-02,18,Wednesday,3,No,Winter,1,Early market
19870219,1987-02-19,1987,1,1987 Q1,2,February,Feb,1987-02,19,Thursday,4,No,Winter,1,Early market
19870220,1987-02-20,1987,1,1987 Q1,2,February,Feb,1987-02,20,Friday,5,No,Winter,1,Early market
19870221,1987-02-21,1987,1,1987 Q1,2,February,Feb,1987-02,21,Saturday,6,Yes,Winter,1,Early market
19870222,1987-02-22,1987,1,1987 Q1,2,February,Feb,1987-02,22,Sunday,7,Yes,Winter,1,Early market
19870223,1987-02-23,1987,1,1987 Q1,2,February,Feb,1987-02,23,Monday,1,No,Winter,1,Early market
19870224,1987-02-24,1987,1,1987 Q1,2,February,Feb,1987-02,24,Tuesday,2,No,Winter,1,Early market
19870225,1987-02-25,1987,1,1987 Q1,2,February,Feb,1987-02,25,Wednesday,3,No,Winter,1,Early market
19870226,1987-02-26,1987,1,1987 Q1,2,February,Feb,1987-02,26,Thursday,4,No,Winter,1,Early market
19870227,1987-02-27,1987,1,1987 Q1,2,February,Feb,1987-02,27,Friday,5,No,Winter,1,Early market
19870228,1987-02-28,1987,1,1987 Q1,2,February,Feb,1987-02,28,Saturday,6,Yes,Winter,1,Early market
