ActivityID,AgentKey,MonthStartDateKey,Year,MonthNumber,ClosedSales,BuyerConsults,ListingsTaken,OffersWritten,OpenHouses,MarketingSpend
1,1,19880101,1988,1,6,19,6,13,5,2075
2,1,19880201,1988,2,6,15,6,13,13,1050
3,1,19880301,1988,3,10,26,6,18,8,2425
4,1,19880401,1988,4,12,34,6,24,14,2200
5,1,19880501,1988,5,7,21,6,15,14,1750
6,1,19880601,1988,6,10,30,5,26,9,1550
7,1,19880701,1988,7,7,24,6,16,7,1400
8,1,19880801,1988,8,5,14,4,10,9,850
9,1,19880901,1988,9,5,19,5,10,10,975
10,1,19881001,1988,10,7,22,5,15,5,1775
11,1,19881101,1988,11,6,23,4,13,6,750
12,1,19881201,1988,12,6,21,5,15,6,2275
13,1,19890101,1989,1,2,8,1,3,1,450
14,1,19890201,1989,2,9,27,9,21,10,1850
15,1,19890301,1989,3,1,6,1,2,2,525
16,1,19890401,1989,4,5,14,3,10,4,950
17,1,19890501,1989,5,9,28,5,14,8,3050
18,1,19890601,1989,6,7,18,4,14,6,1075
19,1,19890701,1989,7,13,45,10,26,23,4400
20,1,19890801,1989,8,8,25,5,20,5,2400
21,1,19890901,1989,9,8,26,6,20,12,2875
22,1,19891001,1989,10,7,24,4,12,6,1225
23,1,19891101,1989,11,5,16,5,13,11,1125
24,1,19891201,1989,12,5,14,3,13,2,1800
25,1,19900101,1990,1,7,26,7,14,11,1675
26,1,19900201,1990,2,1,6,1,2,2,450
27,1,19900301,1990,3,4,14,2,10,5,700
28,1,19900401,1990,4,4,15,2,7,3,800
29,1,19900501,1990,5,11,28,8,23,12,3000
30,1,19900601,1990,6,11,30,11,19,18,3425
31,1,19900701,1990,7,14,34,12,22,24,4825
32,1,19900801,1990,8,2,5,1,4,2,875
33,1,19900901,1990,9,4,11,4,7,3,1300
34,1,19901001,1990,10,7,18,5,12,6,2325
35,1,19901101,1990,11,10,33,5,26,6,1600
36,1,19901201,1990,12,6,20,6,9,10,1400
37,1,19910101,1991,1,6,19,3,12,4,1125
38,1,19910201,1991,2,6,19,4,15,4,2025
39,1,19910301,1991,3,5,13,4,11,8,1300
40,1,19910401,1991,4,8,22,4,17,4,1550
41,1,19910501,1991,5,10,33,6,16,5,3000
42,1,19910601,1991,6,7,24,4,14,4,2025
43,1,19910701,1991,7,8,28,4,12,8,1700
44,1,19910801,1991,8,7,21,4,17,4,1425
45,1,19910901,1991,9,4,11,4,7,9,1500
46,1,19911001,1991,10,6,19,5,12,12,1225
47,1,19911101,1991,11,3,8,2,8,2,475
48,1,19911201,1991,12,6,13,5,9,6,1925
49,1,19920101,1992,1,6,16,4,12,10,825
