SaleID,AgentKey,CloseDateKey,ListDateKey,CommunityKey,PropertyTypeKey,SideKey,LeadSourceKey,FinancingKey,BuyerProfileKey,PriceBandKey,ListPrice,SalePrice,PriceVsList,DaysOnMarket,SquareFeet,Bedrooms,Bathrooms,YearBuilt,LotSquareFeet,CommissionRate,GrossCommission,AgentNetCommission,SellerConcession,MapX,MapY
1,1,19881123,19880926,1,1,1,1,2,2,1,184500,174000,-10500,58,1770,3,2.5,1970,4250,0.0225,3915,3328,0,236.9,471.5
2,1,19880202,19871122,1,1,2,1,3,2,1,196000,191500,-4500,72,1790,3,2.5,1982,8500,0.0225,4309,3663,0,232.2,458.6
3,1,19880225,19880109,1,1,2,2,1,1,1,159500,158000,-1500,47,1620,3,2.5,1971,4300,0.023,3634,3089,0,258.2,469.1
4,1,19880416,19880214,3,1,1,2,1,1,1,201000,196500,-4500,62,1930,3,2.5,1978,7550,0.0245,4814,4092,0,475.8,394
5,1,19880606,19880402,1,1,2,6,1,1,2,257500,257000,-500,65,2270,4,3.5,1979,5550,0.0265,6811,5789,0,230.8,453.9
6,1,19880626,19880429,1,1,2,1,2,1,1,162000,161000,-1000,58,1760,3,2.5,1960,7900,0.0225,3623,3080,0,220.3,445.3
7,1,19880520,19880312,1,1,1,2,1,2,1,196000,198000,2000,69,2070,3,2.5,1965,6200,0.025500000000000002,5049,4292,0,248.7,460.6
8,1,19880429,19880218,1,1,1,6,1,2,1,133000,126500,-6500,71,1610,3,2.5,1955,6000,0.024,3036,2581,0,250.2,486
9,1,19880912,19880626,1,1,1,1,1,5,1,240000,232500,-7500,78,2170,4,3.5,1976,7550,0.025500000000000002,5929,5040,0,249.2,450.2
10,1,19880828,19880705,1,1,1,1,2,5,1,190500,186000,-4500,54,2050,3,2.5,1987,9950,0.0235,4371,3715,2000,253.3,498.8
11,1,19881019,19880825,1,1,1,1,3,2,1,147500,145500,-2000,55,1670,3,2.5,1959,6850,0.026000000000000002,3783,3216,0,261,475
12,1,19880621,19880420,1,1,2,2,1,1,1,144500,141500,-3000,62,1600,2,2,1970,7850,0.023,3255,2767,0,245.6,468.5
13,1,19880114,19871114,1,1,3,6,4,4,1,224000,217000,-7000,61,1890,4,3.5,1959,5700,0.044,9548,8116,0,254.7,456.3
14,1,19880301,19880105,1,1,2,2,1,2,1,179000,178000,-1000,56,1800,3,2.5,1981,7250,0.025,4450,3783,0,254.6,451.7
15,1,19881009,19880819,1,1,1,2,2,5,1,192500,184500,-8000,51,2110,3,2.5,1974,6500,0.03,5535,4705,1000,262.4,449.8
16,1,19881130,19881014,1,1,2,6,1,5,1,170500,164500,-6000,47,1610,2,2,1969,6650,0.025,4113,3496,0,232.3,464.4
17,1,19880418,19880228,1,1,2,2,1,1,1,145500,143500,-2000,50,1500,2,2,1973,3850,0.026000000000000002,3731,3171,0,250.4,430.7
18,1,19880613,19880415,1,1,2,3,1,5,1,250500,248000,-2500,59,2240,3,2.5,1964,6450,0.0285,7068,6008,0,235.2,463.4
19,1,19880128,19871208,1,1,2,6,1,2,1,155500,155000,-500,51,1830,3,2.5,1956,8050,0.027,4185,3557,0,268.8,465
20,1,19880914,19880615,1,1,2,8,1,3,1,194500,191000,-3500,91,2040,4,3.5,1985,7950,0.029,5539,4708,0,234.5,461
21,1,19880927,19880805,1,1,3,9,1,5,1,237000,230000,-7000,53,2120,4,3.5,1985,6100,0.048,11040,9384,0,237.7,447.4
22,1,19880323,19871231,1,1,3,2,3,2,1,164500,168000,3500,83,1650,2,2,1986,5700,0.048,8064,6854,0,246.9,498.5
23,1,19881123,19880927,1,1,1,1,5,1,1,205000,197000,-8000,57,1800,3,2.5,1956,4800,0.0275,5418,4605,0,235.4,472.6
24,1,19880406,19880209,1,1,2,8,1,1,1,190000,191500,1500,57,2260,4,3.5,1961,7600,0.027,5171,4395,0,250.2,469.9
25,1,19880614,19880415,1,1,1,2,1,5,1,222500,217000,-5500,60,2300,4,3.5,1966,6350,0.025,5425,4611,0,256.2,452.9
26,1,19880403,19880126,1,1,1,2,1,3,1,153500,156000,2500,68,1600,3,2.5,1968,4750,0.0285,4446,3779,0,239.6,468.2
27,1,19880327,19880207,1,1,2,1,1,5,2,253500,252000,-1500,49,2230,4,3.5,1968,8400,0.029,7308,6212,0,250.2,444.5
28,1,19880805,19880609,5,1,1,1,2,5,1,179500,174500,-5000,57,1700,3,2.5,1969,6800,0.0285,4973,4227,0,535.8,421.3
29,1,19880526,19880410,1,1,1,1,1,2,2,253500,258000,4500,46,2320,4,3.5,1975,9900,0.0225,5805,4934,0,279.6,463.3
30,1,19880424,19880219,1,1,1,4,2,1,1,206000,196000,-10000,65,2400,4,3.5,1969,9850,0.025500000000000002,4998,4248,2250,237.6,456.6
